company_id,city,source,name,credit_code,address,lng_wgs84,lat_wgs84,coord_source,coord_quality,business_scope,driver_num,vehicle_num,snapshot
,宁波,nb_company,,,,,,,missing,,3.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,5.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,34.0,22.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,32.0,12.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,66.0,45.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,26.0,37.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,56.0,37.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,11.0,13.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,54.0,78.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,12.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,30.0,30.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,13.0,10.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,6.0,5.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,10.0,11.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,12.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,0.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,37.0,35.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,10.0,10.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,5.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,5.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
