site_id,litter_type,litter_name,amount_kg,is_sentinel,snapshot
nb_9d1697bb-2da7-4d06-9245-aadbec3de292,Litter001,工程渣土,7286000.0,False,2026-09-02
nb_666789f3-c716-4b60-9d53-39cf6b49ff5b,Litter001,工程渣土,4462000.0,False,2026-09-02
nb_96865729-e59f-44fb-894f-a8deea7f30af,Litter001,工程渣土,41040000.0,False,2026-09-02
nb_dd6eeb3d-2356-4731-9051-6d6632412cc0,Litter001,工程渣土,385776000.0,False,2026-09-02
nb_3ce8d753-2ffd-4913-b0a9-ce3fa7ff4ab2,Litter001,工程渣土,22680000.0,False,2026-09-02
nb_3ce8d753-2ffd-4913-b0a9-ce3fa7ff4ab2,Litter003,工程泥浆,11700000.0,False,2026-09-02
nb_3ce8d753-2ffd-4913-b0a9-ce3fa7ff4ab2,Litter005,拆除弃料,1139400.0,False,2026-09-02
nb_7d94c4aa-7ec8-4ac5-a14c-f81e21c927be,Litter001,工程渣土,9789882.0,False,2026-09-02
nb_0b19e27c-994b-46da-813e-327e08408d39,Litter001,工程渣土,34020000.0,False,2026-09-02
nb_0b19e27c-994b-46da-813e-327e08408d39,Litter003,工程泥浆,9360000.0,False,2026-09-02
nb_0b19e27c-994b-46da-813e-327e08408d39,Litter005,拆除弃料,2880000.0,False,2026-09-02
nb_add74445-f69d-4498-855a-16d1de531e05,Litter001,工程渣土,207180000.0,False,2026-09-02
nb_add74445-f69d-4498-855a-16d1de531e05,Litter005,拆除弃料,3600000.0,False,2026-09-02
